,open,high,low,close
2016-07-19 00:00:00+00:00,99.56,100.0,99.34,99.87
2016-07-20 00:00:00+00:00,99.92,100.46,99.72,99.93
2016-07-21 00:00:00+00:00,99.82,101.0,97.36,99.42
2016-07-22 00:00:00+00:00,99.25,99.3,98.31,98.66
2016-07-25 00:00:00+00:00,98.25,98.84,96.92,97.32
2016-07-26 00:00:00+00:00,96.83,97.97,96.42,96.67
2016-07-27 00:00:00+00:00,104.28,104.35,102.75,102.97
2016-07-28 00:00:00+00:00,102.85,104.45,102.81,104.33
2016-07-29 00:00:00+00:00,104.19,104.55,103.68,104.2
2016-08-01 00:00:00+00:00,104.42,106.16,104.35,106.06
2016-08-02 00:00:00+00:00,105.56,106.07,104.0,104.47
2016-08-03 00:00:00+00:00,104.83,105.86,104.73,105.8
2016-08-04 00:00:00+00:00,105.57,106.01,105.28,105.89
2016-08-05 00:00:00+00:00,106.24,107.65,106.16,107.47
2016-08-08 00:00:00+00:00,107.55,108.37,107.16,108.37
2016-08-09 00:00:00+00:00,108.22,108.94,108.01,108.82
2016-08-10 00:00:00+00:00,108.64,108.9,107.76,108.0
2016-08-11 00:00:00+00:00,108.55,108.94,107.85,107.93
2016-08-12 00:00:00+00:00,107.78,108.44,107.76,108.16
2016-08-15 00:00:00+00:00,108.14,109.54,108.08,109.51
2016-08-16 00:00:00+00:00,109.65,110.23,108.13,109.38
2016-08-17 00:00:00+00:00,109.1,109.37,108.34,109.2
2016-08-18 00:00:00+00:00,109.24,109.6,108.56,109.08
2016-08-19 00:00:00+00:00,108.78,109.69,108.36,109.36
2016-08-22 00:00:00+00:00,108.86,109.14,107.85,108.5
2016-08-23 00:00:00+00:00,108.61,109.95,108.53,108.83
2016-08-24 00:00:00+00:00,108.57,108.95,107.68,108.04
2016-08-25 00:00:00+00:00,107.4,107.88,106.68,107.59
2016-08-26 00:00:00+00:00,107.44,107.95,106.31,106.94
2016-08-29 00:00:00+00:00,106.63,107.44,106.29,106.82
2016-08-30 00:00:00+00:00,105.79,108.86,105.5,105.99
2016-08-31 00:00:00+00:00,105.67,106.63,105.64,106.11
2016-09-01 00:00:00+00:00,106.14,106.8,105.62,106.73
2016-09-02 00:00:00+00:00,107.73,108.0,106.82,107.73
2016-09-06 00:00:00+00:00,107.83,108.3,107.51,107.7
2016-09-07 00:00:00+00:00,107.85,108.76,107.07,108.37
2016-09-08 00:00:00+00:00,107.23,107.7,105.24,105.51
2016-09-09 00:00:00+00:00,104.64,105.72,103.14,103.14
2016-09-12 00:00:00+00:00,102.65,105.72,102.53,105.44
2016-09-13 00:00:00+00:00,107.51,108.79,107.24,108.02
2016-09-14 00:00:00+00:00,108.75,113.03,108.6,111.78
2016-09-15 00:00:00+00:00,113.86,115.73,113.49,115.57
2016-09-16 00:00:00+00:00,115.17,116.13,114.01,114.91
2016-09-19 00:00:00+00:00,115.25,116.18,105.67,113.53
2016-09-20 00:00:00+00:00,112.96,114.12,104.7,113.57
2016-09-21 00:00:00+00:00,113.85,113.99,112.44,113.53
2016-09-22 00:00:00+00:00,114.32,114.94,114.0,114.62
2016-09-23 00:00:00+00:00,114.42,114.79,111.55,112.7
2016-09-26 00:00:00+00:00,111.64,113.85,111.55,112.87
2016-09-27 00:00:00+00:00,113.0,113.18,112.34,113.11
2016-09-28 00:00:00+00:00,113.7,115.29,113.43,113.95
2016-09-29 00:00:00+00:00,113.21,113.8,111.8,112.18
